ECOCYC	Fig6_neg_replicate1	Fig6_neg_replicate2	Fig6_pos_replicate1	Fig6_pos_replicate2
G7421	3.36067E-06	8.17412E-06	5.0403E-06	7.32576E-06
G7442	9.02292E-06	4.67014E-06	2.61664E-06	3.86349E-06
G7444	0	0	0	8.18169E-07
G7432	4.55715E-05	3.04923E-05	2.80582E-05	2.69533E-05
G7433	0	0	9.88507E-06	1.36832E-05
G7434	4.41645E-05	2.02934E-05	1.34375E-05	6.07619E-05
G7435	2.42177E-06	9.25641E-06	3.49594E-06	9.95487E-06
G7436	3.20791E-06	7.49294E-06	6.6154E-06	1.00729E-05
G7437	3.1168E-07	0	1.2855E-06	6.40594E-06
G7439	5.73235E-07	5.4775E-06	2.06873E-06	3.92721E-06
G7440	1.59171E-06	0	1.09415E-06	0
EG11155	1.22655E-05	2.47427E-05	1.15932E-05	2.27583E-05
EG11793	7.37171E-06	4.96433E-05	1.95455E-05	3.42701E-05
EG12372	1.3239E-05	2.24896E-05	7.96298E-06	1.98406E-05
G7453	0.000115232	9.32136E-05	0.000147106	0.000134707
G7460	2.80355E-05	3.49747E-05	1.14426E-05	3.90143E-05
G7461	8.7595E-05	0.000157697	9.81737E-05	0.000185904
G0-10601	0	3.61441E-06	8.77553E-06	1.94357E-05
EG11157	0.00014262	0.000127271	0.000115411	0.000148418
G7470	0	1.08432E-06	0	1.02037E-05
G7471	0	2.15983E-06	0	2.9035E-06
G7472	0	1.08038E-05	3.12274E-07	5.18709E-07
G7473	0	0	0	0
G7475	9.39253E-07	3.58998E-06	0	1.76957E-05
G7476	5.34652E-06	6.81177E-06	0	1.37358E-05
G7478	0	1.27757E-05	0	1.21233E-05
G7479	2.09037E-06	7.98974E-06	2.15539E-06	3.58026E-05
G7482	8.34057E-06	6.19871E-05	2.72334E-05	8.57114E-05
G7483	5.24564E-06	1.93814E-05	2.16353E-06	4.85159E-05
G7484	5.7369E-05	8.08221E-05	5.68784E-05	4.81843E-05
G7488	0.000423592	0.000252667	0.000379725	0.000232466
G7489	3.5015E-07	1.07067E-05	1.44417E-06	9.59546E-06
G7490	3.83234E-06	5.32649E-06	1.0777E-06	4.17697E-06
G7491	4.81716E-06	7.45248E-06	4.96701E-06	1.11972E-05
EG11323	0.000379575	0.000494612	0.00039064	0.000434232
G7514	7.28678E-06	1.5711E-05	1.50269E-05	2.01606E-05
G7518	1.90615E-05	4.08706E-05	8.1494E-06	3.58325E-05
G7497	6.4593E-06	2.57172E-06	4.30139E-06	8.06685E-06
G7499	1.0693E-06	0	8.26925E-06	8.24148E-06
G7505	0	1.4125E-05	0	1.46066E-06
G7506	2.60643E-06	5.81129E-06	3.58334E-06	4.46414E-06
G7509	0.000143098	0.00010418	9.27453E-05	0.000183817
G7511	0.000292472	0.000200395	0.000292365	0.000208235
EG11161	2.16107E-05	5.80431E-05	2.71009E-05	3.70136E-05
EG11244	9.22978E-05	7.6005E-05	0.000111417	5.87989E-05
EG11245	2.15853E-06	7.70026E-06	2.22568E-06	2.2182E-06
EG12122	0	3.20071E-06	0	1.43426E-06
EG12443	0.000316278	0.000289219	0.000241958	0.000299247
EG12704	1.65487E-06	1.31775E-05	0	1.77148E-05
EG12705	7.35592E-05	9.51944E-05	7.34585E-05	0.000144836
G7520	2.93682E-06	1.24722E-06	2.69171E-06	3.35334E-06
G7526	1.27532E-06	5.41608E-06	3.94496E-06	9.46524E-06
G7527	3.78579E-05	2.63775E-05	2.56171E-05	3.44467E-05
G7528	5.07495E-05	4.02939E-05	3.48854E-05	3.1493E-05
G7529	2.00632E-05	2.00842E-05	7.38833E-06	1.96361E-05
G7531	3.44773E-05	5.00009E-05	2.11786E-05	5.52815E-05
G7532	0.0001239	0.000100103	0.000155797	0.00011128
EG11292	1.88487E-05	2.22133E-05	1.70057E-05	2.82476E-05
EG11824	6.57136E-05	5.39368E-05	8.92577E-05	9.95638E-05
G7535	4.65953E-06	1.78095E-05	8.00746E-07	0
G7536	0	1.17248E-05	4.9942E-07	3.31829E-06
G7537	0	6.40142E-06	0	4.30278E-06
G7538	0	9.04921E-06	0	1.73786E-05
G7541	8.3168E-06	1.79318E-05	7.06773E-06	1.6436E-05
G7547	1.42209E-06	1.13239E-05	6.96506E-06	9.13378E-06
G7549	4.68571E-06	8.95479E-06	0	3.34392E-06
G7550	5.49444E-07	4.20014E-06	0	4.70528E-06
G7551	1.16815E-06	1.86036E-05	0	1.00037E-06
G7552	0	5.36685E-06	0	4.12272E-06
G7553	0.000319385	0.000243291	0.000319401	0.000289989
G7555	0	3.13625E-05	0	4.96015E-05
G7557	1.5464E-05	1.84309E-05	9.77274E-06	1.70876E-05
				
EG11164	0.000383517	0.000271984	0.000465194	0.000295483
EG11165	0.00029095	0.0002247	0.000262963	0.000249776
EG11166	1.99315E-05	3.84164E-05	1.63358E-05	3.85141E-05
EG11603	2.85065E-05	8.52883E-05	4.39248E-05	6.19905E-05
EG12363	7.55486E-07	9.62532E-06	0	9.05767E-06
EG12434	6.37966E-05	0.000137749	7.33979E-05	0.000111567
EG12657	0.000329651	0.00020072	0.000270286	0.000156457
G7568	1.67187E-05	0.000104828	2.42118E-05	0.000101348
G7570	2.1007E-05	0.000108378	2.0056E-05	0.000100388
G7573	3.88536E-05	5.61019E-05	2.58178E-05	1.18304E-05
G7574	0.000196311	0.000140603	0.0001871	0.000103595
G7577	3.75701E-06	1.91466E-05	0	2.35942E-05
G7597	2.00374E-05	7.97774E-06	9.03905E-06	1.50145E-05
EG12720	5.81629E-07	3.70514E-06	5.99722E-07	3.48663E-06
G7598	0	7.44143E-06	0	0
G7599	1.77308E-06	3.61441E-06	1.27976E-06	2.73314E-06
G7604	7.44693E-06	2.00298E-05	1.53572E-05	1.27547E-05
G7605	0	1.53338E-06	0	3.09204E-06
G7606	0.000367171	0.000261083	0.000400811	0.000239535
G7608	1.66207E-05	2.40633E-05	4.67392E-06	4.39944E-05
EG11173	0	1.96784E-06	2.38889E-06	0
EG11174	0	3.5779E-06	0	0
G7617	2.9625E-05	2.75821E-05	1.99727E-05	1.75638E-05
G7618	2.33629E-06	1.0418E-05	0	3.40125E-05
G7619	4.55616E-05	5.74558E-05	4.69789E-05	4.53879E-05
G7620	1.30693E-05	1.51373E-05	1.04131E-05	9.1572E-06
G7621	3.28568E-05	4.50815E-05	3.12728E-05	3.0302E-05
G7629	6.72626E-05	5.82736E-05	3.69893E-05	3.84012E-05
EG11499	4.27389E-05	9.29531E-05	4.67392E-05	0.000118304
G7647	0.000102047	6.96139E-05	9.4451E-05	6.88114E-05
G7648	1.59673E-05	3.47032E-05	1.74325E-05	2.73479E-05
G7649	6.88166E-06	2.80564E-05	8.51487E-06	3.30022E-05
G7650	0.000140664	0.000151805	0.000175754	9.06999E-05
G7651	0.000467866	0.000594064	0.00049061	0.000659842
G7652	2.51222E-06	5.86797E-06	1.29518E-06	7.1713E-07
G7653	1.89774E-06	1.81337E-06	9.78386E-07	6.50068E-06
G7654	5.13011E-05	6.2725E-05	4.73513E-05	5.52703E-05
G7655	2.82122E-06	1.27438E-05	3.43789E-06	3.95348E-06
EG12794	0.000143265	0.000108432	0.000190136	9.71785E-05
EG11515	8.03166E-06	7.63523E-05	7.00742E-06	4.65593E-05
G7681	0.00042748	0.00045941	0.000456943	0.000492286
G7669	0	1.6568E-05	1.3871E-06	5.37616E-06
G7670	7.87837E-06	2.74358E-05	1.98573E-06	3.29844E-05
G7671	2.69776E-05	3.4371E-05	3.01348E-05	8.27851E-05
G7673	4.07141E-06	3.33463E-05	6.59694E-06	2.68969E-05
G7674	6.285E-06	2.73195E-05	8.38654E-06	1.2031E-05
G7675	1.6143E-05	6.62719E-05	1.3871E-05	3.3793E-05
G7683	4.73896E-06	3.22011E-05	9.77274E-06	5.41107E-06
G7684	0.000155813	0.000107042	0.000124432	9.68047E-05
EG11298	0.000127074	0.000105548	0.000115825	0.000208026
EG11315	6.54414E-05	3.92358E-05	6.26257E-05	6.7397E-05
EG11498	9.42437E-07	4.80287E-06	0	8.87783E-06
EG11970	8.5892E-05	0.000167027	0.000100217	0.000178082
G7690	1.74448E-05	5.6892E-05	2.1155E-05	5.4683E-05
G7693	3.43233E-05	1.3119E-05	0	8.81805E-06
G7694	0	1.18071E-05	0	3.1745E-05
G7695	0	1.19666E-05	3.87388E-06	1.93044E-05
EG12834	5.08571E-05	3.73218E-05	4.44684E-05	2.22989E-05
EG12835	3.52816E-06	4.04557E-06	0	6.64711E-06
EG12836	4.15517E-06	1.39567E-05	4.28443E-06	1.68214E-05
EG12837	1.64833E-05	1.26004E-05	4.53229E-06	1.5998E-05
G7715	0.000137279	0.000104353	0.000165934	0.000127441
EG12903	2.76712E-05	4.44153E-05	2.67346E-05	4.17959E-05
G7718	2.69051E-05	3.11623E-05	2.22777E-05	3.00227E-05
G7719	3.80848E-06	0	1.76713E-05	1.95688E-05
G0-10466	0.00017428	0.000113665	0.000147612	0.000127927
EG11182	0.000131802	0.000308295	9.66175E-05	0.000305104
EG12374	3.47524E-05	9.48782E-06	4.09525E-05	2.12578E-05
G7721	4.10484E-05	2.90545E-05	4.66192E-05	4.1436E-05
G7722	1.24116E-05	6.32521E-06	0	2.55094E-05
G7728	8.44809E-06	1.22311E-05	4.75139E-06	9.86549E-06
G7729	1.59781E-06	4.88568E-06	4.94254E-06	3.28396E-06
G7730	2.35609E-06	0	0	0
G7732	1.01963E-06	7.36137E-06	1.4018E-06	5.8212E-07
G7733	5.0158E-06	8.67271E-06	1.47767E-06	6.7499E-06
G7734	3.90605E-05	7.17206E-05	6.75208E-05	1.96766E-05
G7735	0.000176754	0.000286184	0.000172285	0.000249124
G7745	1.0879E-05	1.17044E-05	7.97683E-06	2.02892E-05
G7746	2.31682E-05	3.91281E-05	1.72223E-05	5.59843E-05
G7747	6.95047E-05	5.90353E-05	7.73247E-05	0.000108601
G7753	2.38703E-05	3.93569E-05	7.23907E-06	1.80369E-05
EG11184	0.000365964	0.000196383	0.000349071	0.000200836
EG11520	0	1.10691E-05	0	1.86006E-06
EG11525	3.30102E-06	1.07479E-05	3.78189E-07	6.91018E-06
EG11767	6.30176E-06	2.12527E-05	1.49067E-05	3.30148E-05
EG12212	2.62573E-05	2.36141E-05	1.27408E-05	3.70358E-05
EG12213	2.43267E-05	2.36141E-05	1.43334E-05	3.1745E-05
EG12214	5.52047E-05	3.64381E-05	6.7209E-05	4.32886E-05
EG12217	6.26169E-06	9.17441E-05	2.58259E-06	8.15074E-05
EG12219	8.55969E-06	3.70788E-05	1.51807E-05	2.52161E-05
EG12220	8.34057E-05	6.98303E-05	6.14287E-05	3.5373E-05
G7756	4.55376E-05	0.000109164	8.64944E-05	0.000148805
G7757	0.000136197	0.000195533	0.000115578	0.000152761
G7758	2.13205E-05	8.69231E-06	1.14315E-05	3.35951E-05
G7759	2.82971E-06	1.8026E-06	0	0
EG11400	1.48019E-05	4.09967E-06	1.72531E-05	0
EG12224	1.60095E-05	3.48242E-05	1.4897E-05	4.01271E-05
EG12225	1.0021E-05	1.50589E-05	6.88849E-06	1.18824E-05
EG12227	2.33557E-06	6.61254E-06	2.94338E-06	1.24451E-05
EG12228	4.75246E-06	5.04575E-06	9.39223E-06	3.39156E-06
EG12229	6.93314E-06	1.63414E-05	1.00083E-05	2.79055E-05
EG12238	5.59019E-06	1.21078E-05	5.18768E-06	8.6171E-06
EG12246	2.42056E-05	2.46715E-05	1.28358E-05	2.01367E-05
EG12247	8.80393E-06	1.94817E-05	5.73334E-06	1.11107E-05
EG12248	4.64736E-05	4.61104E-05	4.87673E-05	4.78992E-05
EG12249	9.07817E-05	0.000104818	8.22299E-05	6.42458E-05
EG12251	7.64855E-05	7.78544E-05	8.03252E-05	6.37672E-05
EG12254	3.56577E-05	7.38237E-05	4.53842E-05	8.06348E-05
EG12262	0.000119151	0.000146183	4.55027E-05	0.00013605
EG12266	3.60638E-06	1.00249E-05	1.45362E-05	1.74073E-05
EG12268	4.13924E-06	9.22884E-06	1.77833E-06	1.06342E-05
EG12269	4.11659E-05	3.26848E-05	4.98284E-05	3.98515E-05
EG11186	2.85636E-06	2.91133E-05	2.94521E-06	1.46766E-05
EG11267	4.87752E-06	2.01963E-05	0	2.08848E-06
EG12270	2.55323E-05	2.53008E-05	2.34014E-05	1.78161E-05
EG12271	3.15931E-06	6.44022E-06	0	2.05621E-05
EG12273	0.000340778	0.000248098	0.000341098	0.000255165
EG12624	0.000899979	0.000783283	0.000824538	0.000589082
